"Customer_ID","No_Show","Major_Hub_Departure","Departure_Day","Departure_Hour","Connections","International_Flight","Connection___International_Fligh","Business_Traveler","Booking_Class","When_Ticket_Purchased","Age","Gender___Female","Frequent_Flier_Status","Weather_Issues","Weather_Issues___Connection"
"     3988414","           0","           0","           1","           2","           0","           0","           0","           0","           3","           3","           3","           1","           0","           0","           0"
"     8380269","           1","           1","           1","           1","           1","           0","           0","           0","           2","           2","           2","           0","           1","           0","           0"
"     1382017","           1","           1","           2","           3","           1","           0","           0","           0","           1","           3","           3","           0","           0","           0","           0"
"      401949","           1","           0","           5","           3","           1","           0","           0","           0","           2","           3","           5","           0","           0","           1","           1"
"     5951420","           1","           0","           7","           1","           1","           0","           0","           0","           2","           1","           6","           1","           0","           1","           1"
"     9496493","           1","           1","           4","           3","           0","           0","           0","           0","           3","           3","           4","           0","           0","           1","           0"
"     7062794","           1","           1","           4","           3","           0","           0","           0","           0","           3","           1","           7","           0","           0","           1","           0"
"     4737369","           1","           0","           7","           3","           0","           0","           0","           0","           1","           1","           4","           0","           1","           0","           0"
"     1277041","           1","           0","           2","           1","           1","           0","           0","           0","           3","           3","           3","           0","           0","           0","           0"
"      978861","           1","           1","           2","           1","           1","           0","           0","           0","           3","           3","           6","           0","           0","           1","           1"
"     6711245","           1","           1","           1","           3","           0","           1","           0","           1","           2","           3","           4","           1","           0","           0","           0"
"     3920501","           1","           0","           3","           1","           0","           0","           0","           0","           3","           2","           4","           0","           0","           0","           0"
"     1027772","           1","           0","           7","           3","           0","           1","           0","           0","           3","           2","           4","           0","           0","           1","           0"
"     2907064","           1","           1","           7","           3","           1","           0","           0","           0","           3","           3","           3","           1","           0","           0","           0"
"      434795","           1","           0","           7","           2","           0","           0","           0","           1","           2","           2","           4","           1","           0","           0","           0"
"     6738080","           1","           0","           3","           1","           0","           0","           0","           0","           2","           3","           2","           0","           1","           0","           0"
"     7468962","           1","           0","           7","           3","           1","           0","           0","           0","           3","           2","           8","           0","           0","           1","           1"
"     4730005","           1","           1","           1","           3","           1","           0","           0","           0","           2","           3","           5","           0","           0","           0","           0"
"     4899517","           1","           1","           7","           1","           1","           1","           1","           1","           3","           3","           3","           1","           1","           1","           1"
"     8215051","           1","           1","           4","           3","           1","           0","           0","           0","           3","           2","           8","           0","           0","           0","           0"
"     4396130","           1","           0","           4","           1","           1","           0","           0","           1","           2","           2","           6","           1","           0","           1","           1"
"     9865937","           1","           0","           4","           3","           0","           0","           0","           1","           2","           3","           2","           0","           0","           1","           0"
"     9819063","           1","           1","           6","           3","           1","           0","           0","           0","           1","           2","           4","           1","           0","           1","           1"
"        1004","           1","           1","           5","           1","           1","           0","           0","           1","           3","           3","           2","           0","           0","           0","           0"
"     3866042","           1","           1","           3","           3","           0","           0","           0","           0","           3","           3","           5","           0","           0","           0","           0"
